ANG,LOV,JOY,SAD,ARO,VAL,DOM,MOD,IND,IMP,CON,SUB,POL,NEG,POS,COR,SEN,SPO,radioSilence,missingLinks,orgSilo,smelly,quitter,project
0.086455331,0.009606148,0.047070125,0.177713737,0.960438805,1.377843008,1.385109067,0.708557253,0.804034582,0.02401537,0.170028818,0.00192123,0.352545629,-0.1846675,0.233846106,1,3.585975024,1,0,1,1,1,0,Hadoop Common
0.057692308,0.057692308,0.076923077,0.884615385,0.922001957,1.370947709,1.363801805,0.557390385,0.557692308,0.038461538,0.403846154,0,0.519230769,-0.188533333,0.149694286,0,5.307692308,0,1,1,0,1,0,Hadoop Common
0,0,0,0.5,0.95985965,1.496953177,1.474223467,0.581583333,0.666666667,0,0.333333333,0,0.5,-0.5,0.180825,0,2.5,0,1,0,0,1,0,Hadoop Common
0,0,0.166666667,0,1.22160635,1.8032217,1.709736433,0.26035,0.5,0,0.5,0,0.333333333,-0.75,0.3729,0,1.5,0,1,0,0,1,0,Hadoop Common
0,0.333333333,0.166666667,0,1.281525057,1.867482567,1.8365909,0.5544,0.333333333,0.166666667,0.5,0,0.666666667,0,0.2291,0,2.5,0,1,0,0,1,0,Hadoop Common
0,0.045454545,0.090909091,0.136363636,1.122517238,1.57926138,1.619496484,0.614445455,0.636363636,0,0.363636364,0,0.318181818,-0.0843,0.098336364,0,6.590909091,0,1,0,0,1,0,Hadoop Common
0.056034483,0.129310345,0.0625,0.381465517,1.009854754,1.494951263,1.495158669,0.507756681,0.465517241,0.084051724,0.448275862,0.002155172,0.566810345,-0.1211,0.193681071,4,4.795258621,0,1,1,1,1,1,Hadoop Common
0.011612903,0.259354839,0.287741935,0.336774194,0.869813521,1.31907854,1.303463915,0.599511097,0.647741935,0.027096774,0.323870968,0.001290323,0.670967742,-0.151436634,0.282165966,0,3.912258065,0,1,1,0,1,0,Hadoop Common
0,0,0,0,0.92115384,1.1319231,1.2426922,0.5,1,0,0,0,0,0,0,0,2,0,1,1,0,1,0,Hadoop Common
0.012072435,0.106639839,0.112676056,0.130784708,1.130464198,1.711301479,1.689973613,0.696980885,0.676056338,0.134808853,0.185110664,0.004024145,0.432595573,-0.210126531,0.291746847,2,2.605633803,0,1,1,1,1,1,Hadoop Common
0,0.023809524,0,0.261904762,1.061058523,1.576333811,1.548359132,0.649583333,0.714285714,0.071428571,0.19047619,0.023809524,0.476190476,-0.11497,0.111130435,0,3.285714286,0,1,1,0,1,0,Hadoop Common
0,0,0,0,0.7718998,1.104090634,1.176723206,0.5551,0.8,0,0.2,0,0.2,0,0.27245,0,1.6,0,1,1,0,1,0,Hadoop Common
0,0.380952381,0.19047619,0.238095238,1.075315058,1.525385116,1.574575223,0.553590476,0.761904762,0,0.238095238,0,0.571428571,-0.2073,0.197473333,0,3.714285714,0,1,1,0,1,0,Hadoop Common
0.015706806,0.078534031,0.057591623,0.397905759,0.986708161,1.364010981,1.396815954,0.515187435,0.586387435,0.036649215,0.366492147,0.010471204,0.565445026,-0.183553704,0.18237439,0,3.732984293,0,1,1,0,1,0,Hadoop Common
0.122905028,0.039106145,0.061452514,0.251396648,1.048894057,1.5285274,1.519441062,0.663347486,0.815642458,0.016759777,0.156424581,0.011173184,0.402234637,-0.170496667,0.181286517,0,4.279329609,1,0,1,1,1,0,Hadoop Common
0,0,1,0,1.4433334,1.9044445,1.7677778,0,0,0,1,0,0,-0.1917,0,0,3,0,1,0,0,1,0,Hadoop Common
0,2,0,3,0.8336935,1.28174775,1.2766759,0.36125,0,0,1,0,1,0,0.13,0,7.5,0,1,0,0,1,0,Hadoop Common
0,0,0,0,1.211312584,1.716983646,1.80985095,0.5158625,0.75,0,0.25,0,0.75,0,0.17585,0,2.375,0,1,0,0,1,0,Hadoop Common
0.04,0.08,0.2,0.16,0.946081016,1.473302256,1.409946967,0.634488,0.64,0.08,0.2,0.08,0.44,-0.03465,0.237818182,0,3.2,0,0,1,1,1,1,Hadoop Common
0,0.333333333,0,0.333333333,0.919974667,1.363432867,1.356544967,0.589266667,0.666666667,0,0.333333333,0,0.666666667,0,0.2028,0,2.333333333,0,1,0,0,1,0,Hadoop Common
0,0.041666667,0.125,0.166666667,0.987750674,1.487391326,1.490798929,0.450029167,0.583333333,0,0.416666667,0,0.5,-0.253125,0.24339,0,3.041666667,0,0,1,1,1,1,Hadoop Common
0.030088496,0.060176991,0.108849558,0.433628319,1.018602985,1.467115238,1.480718776,0.547394602,0.507079646,0.077876106,0.411504425,0.003539823,0.534513274,-0.154888554,0.190352931,5,4.507079646,0,1,1,1,1,0,Hadoop Common
0.007092199,0.205673759,0.063829787,0.191489362,0.722529231,1.101322995,1.101520873,0.627592908,0.673758865,0.035460993,0.283687943,0.007092199,0.503546099,-0.162064,0.22964127,8,2.439716312,0,1,1,1,1,0,Hadoop Common
0.027777778,0.027777778,0.166666667,0.055555556,0.751992403,1.169498079,1.157664723,0.58355,0.666666667,0,0.305555556,0.027777778,0.472222222,-0.10865,0.295733333,0,2.944444444,0,1,0,0,1,0,Hadoop Common
0.333333333,0,0.166666667,0.666666667,0.670630522,1.005347092,0.991054285,0.421566667,0.833333333,0,0.166666667,0,0.333333333,-0.1206,0.284333333,0,2.5,0,1,0,0,1,0,Hadoop Common
0.008896797,0.18683274,0.040925267,0.142348754,0.824521839,1.213113901,1.212054264,0.705585943,0.816725979,0.040925267,0.138790036,0.003558719,0.37366548,-0.106858101,0.191622396,0,2.526690391,0,1,0,0,1,0,Hadoop Common
0,0.142857143,0,0.142857143,1.180470229,1.728641457,1.758707729,0.361785714,0.142857143,0,0.857142857,0,0.857142857,-0.3,0.164466667,0,5,0,1,0,0,1,0,Hadoop Common
0,0.0625,0.125,0.6875,1.061559321,1.629099413,1.600798666,0.6009625,0.75,0,0.25,0,0.625,-0.071725,0.1594,0,4.25,0,1,0,0,1,0,Hadoop Common
0.074074074,0.037037037,0.037037037,0.259259259,0.977882939,1.405897559,1.416728926,0.70977037,0.851851852,0,0.148148148,0,0.481481481,-0.13263,0.14082,0,4.296296296,0,1,0,0,1,0,Hadoop Common
0,0,0,0.666666667,1.423005367,2.250539017,2.175838713,0.710333333,0.333333333,0,0.666666667,0,0.666666667,0,0.1879,0,2.333333333,0,1,0,0,1,0,Hadoop Common
0,0,0,0,2.165,3.32125,3.2350001,1,1,0,0,0,0,0,0.5929,0,2,0,1,0,0,1,0,Hadoop Common
0,0.025906736,0.03626943,0.134715026,1.063684412,1.603020051,1.593560771,0.683168394,0.663212435,0.03626943,0.300518135,0,0.450777202,-0.224716129,0.250631429,2,2.196891192,0,1,0,0,1,0,Hadoop Common
0.007936508,0.238095238,0.087301587,0.150793651,0.910365593,1.329963786,1.325428835,0.681897619,0.738095238,0.055555556,0.206349206,0,0.388888889,-0.144261111,0.220339189,0,2.865079365,0,1,0,0,1,0,Hadoop Common
0.019230769,0.019230769,0.076923077,0.230769231,1.018378409,1.475583081,1.489104071,0.591311538,0.557692308,0.076923077,0.365384615,0,0.538461538,-0.12513125,0.159990909,0,3.519230769,0,1,0,0,1,0,Hadoop Common
0,0.263157895,0.105263158,0.105263158,0.921360512,1.431808758,1.416072046,0.715705263,0.736842105,0.052631579,0.210526316,0,0.315789474,-0.145833333,0.181463636,0,3.052631579,0,1,0,0,1,0,Hadoop Common
0,0.25,0.166666667,0.166666667,1.547331458,2.502741533,2.571741842,0.782833333,0.25,0.166666667,0.416666667,0.166666667,0.416666667,-0.3281,0.283333333,0,1.75,0,1,0,0,1,0,Hadoop Common
0.111111111,0.166666667,0.333333333,0.666666667,0.993077087,1.508302517,1.488036583,0.325216667,0.388888889,0.055555556,0.555555556,0,0.777777778,-0.0008,0.18849375,0,5.444444444,0,1,0,0,1,0,Hadoop Common
0.027522936,0.23853211,0.091743119,0.330275229,0.834948394,1.210700341,1.225990193,0.586566972,0.76146789,0.027522936,0.211009174,0,0.577981651,-0.182697059,0.241685714,0,3.495412844,0,1,0,0,1,0,Hadoop Common
0.085714286,0.114285714,0.171428571,0.885714286,1.088513407,1.595016327,1.573017415,0.449134286,0.514285714,0.028571429,0.428571429,0.028571429,0.714285714,-0.125,0.173544,0,7.228571429,0,1,0,0,1,0,Hadoop Common
0,0.125,0.05,0.275,0.904537133,1.377171249,1.370654875,0.45909125,0.6375,0.0375,0.325,0,0.525,-0.124846154,0.219110417,0,3.425,0,1,0,0,1,0,Hadoop Common
0,0.333333333,0,0.333333333,0.859615367,1.267649567,1.285564067,0.356466667,0,0.333333333,0.666666667,0,0.666666667,0,0.12655,0,3.666666667,0,1,0,0,1,0,Hadoop Common
0,0,0,0,0.830772642,1.223624443,1.2512386,0.796875,0.75,0,0.25,0,0.75,0,0.33,0,2,0,1,0,0,1,0,Hadoop Common
0.032894737,0.046052632,0.098684211,0.328947368,1.033318463,1.545593923,1.52997103,0.584513816,0.552631579,0.042763158,0.391447368,0.013157895,0.661184211,-0.158414063,0.216001744,4,4.414473684,0,1,1,1,1,0,Hadoop Common
0.032258065,0.096774194,0.032258065,0.290322581,0.882983898,1.251022344,1.242767799,0.647653226,0.838709677,0.016129032,0.14516129,0,0.387096774,-0.170464286,0.163525926,1,3.096774194,0,1,1,1,1,1,Hadoop Common
0,0,0,0,0.816707665,1.08629783,1.1907104,0.8068,0.5,0,0.5,0,0.5,0,0.04,0,3,0,1,0,0,1,0,Hadoop Common
0.02173913,0.115942029,0.144927536,0.253623188,0.924500993,1.367110501,1.357533046,0.640056522,0.695652174,0.043478261,0.239130435,0.02173913,0.463768116,-0.145754167,0.229546377,0,4.086956522,0,1,0,0,1,0,Hadoop Common
